List Name,List Title,URL
11TH_FL_RUBLOFF,11th Floor Rubloff,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=11TH_FL_RUBLOFF
17ALI,2017 Ali College,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=17ALI
17GOLDEN,2017 Golden College,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=17GOLDEN
17MARTIN,2017 Martin College,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=17MARTIN
17ULSTRU,2017 Ulstru College,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=17ULSTRU
1835,1835,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=1835
1835EXEC,1835 Hinman Executive Board,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=1835EXEC
18GILBERT,2018 Gilbert Class List,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=18GILBERT
18OGUN,2018 Ogun Class List,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=18OGUN
18PATEL,2018 Patel Class List,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=18PATEL
2012-2013HLSAFAB,2012-2013 H/LSA Freshman Activities Board,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=2012-2013HLSAFAB
2013SASABOARD,SASA Board 2013-2014,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=2013SASABOARD
2303SHERIDAN,Residents of 2303 Sheridan,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=2303SHERIDAN
4C_EXEC,China Foresee Exec Board,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=4C_EXEC
64SQUARES,64SQUARES,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=64SQUARES
720,720,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=720
A600USERS,"Community of A600 NMR Spectrometer users (IMSERC, Chemistry)",https://listserv.it.northwestern.edu/scripts/wa.exe?A0=A600USERS
AAA-FAB,Asian/Asian American Freshmen Activities Board,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AAA-FAB
AAIV,AAIV,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AAIV
AASJ,Asian American Student Journalists,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AASJ
AASP,AASP,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AASP
AATE,African American Theatre Ensemble,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AATE
ABBOTT-SEVEN,Abbott Seven Committee,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ABBOTT-SEVEN
ABCDFACULTY,STAFF: Asset-Based Community Development Faculty List,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ABCDFACULTY
ABQEXECBOARD,ABQ Exec Board,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ABQEXECBOARD
ACCESS-SERVICES,Access Services - NUL,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ACCESS-SERVICES
ACCNU,ACCNU,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ACCNU
ACMCCONFERENCE,Mailing list of Advances in Computational Motor Control,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ACMCCONFERENCE
ACS,ACS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ACS
ACSQUIK,ACS QUIK Staff,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ACSQUIK
ACSQUIKOPSTEAM,ACS QUIK Study Operations Teams,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ACSQUIKOPSTEAM
ACSQUIKSTUDY,ACS QUIK Investigators,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ACSQUIKSTUDY
ACTUARYCLUB,NU actuary club,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ACTUARYCLUB
ADCA,Advanced Degree Consulting Alliance,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ADCA
ADDITIVEMFG,Additive Manufacturing Group,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ADDITIVEMFG
ADSEMINAR,ADSEMINAR,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ADSEMINAR
ADVISORS-APPLIED,Applied Physics Advisors,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ADVISORS-APPLIED
ADVISORY_COUNCIL,Advisory Council,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ADVISORY_COUNCIL
ADVOCACY,Northwestern Quest Scholars Network's Advocacy Committee,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ADVOCACY
AELS,Art/Entertainment law,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AELS
AFAMCOREFACULTY,AFAM Core Faculty,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AFAMCOREFACULTY
AFAMFACULTY,AFAMFACULTY,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AFAMFACULTY
AFAMGRADS,AFAMGRADS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AFAMGRADS
AFAMNEWSLETTER,Newsletter,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AFAMNEWSLETTER
AFAMUNDERGRADS,AFAMUNDERGRADS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AFAMUNDERGRADS
AHEAD,AHEAD@NU,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AHEAD
AICHE,AICHE,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AICHE
AICHE-EXEC,AICHE-EXEC,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AICHE-EXEC
AJD2012,Accelerated JD Program 2012,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AJD2012
AJD2013,Accelerated JD Program 2013,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AJD2013
AJD2014,Accelerated JD Program 2014,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AJD2014
AJD2015,Accelerated JD Program 2015,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AJD2015
AJD2016,Accelerated JD Program 2016,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AJD2016
AKPSI,AKPSI,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AKPSI
ALDF,ALDF,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALDF
ALIANZA,ALIANZA,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALIANZA
