?,,School,School Group,Free & For Sale Group,Other Group 1
_,852,TCNJ,groupsattcnj,https://www.facebook.com/groups/379615512077666,
_,"1,714",UIC,groupsatuic,https://www.facebook.com/groups/346640798729253,
_,"2,218",Case Western,groupsatcasewestern,https://www.facebook.com/groups/288660197876067,
_,"6,522",UNC,groupsatunc,https://www.facebook.com/groups/270109879739406,https://www.facebook.com/groups/594833463933711/?ref=br_rs
,"7,166",UCSC,groupsatucsc,https://www.facebook.com/groups/376468565726527/?ref=br_rs,
,"7,681",Purdue,groupsatpurdue,https://www.facebook.com/groups/357226580981023/?ref=br_rs,
,"8,314",U of M,groupsatuofm,https://www.facebook.com/groups/410704888959428/?ref=br_rs,
,"8,404",Texas A&M,groupsattamu,https://www.facebook.com/groups/106215279510161/,https://www.facebook.com/groups/367964903335196/?ref=br_rs
,"8,808",UCF,groupsatucf,https://www.facebook.com/groups/244468248985859/?ref=br_rs,
_,"8,894",Waterloo,groupsatwaterloo,https://www.facebook.com/groups/UWclassifieds/,
,9261,Washington,groupsatuw,https://www.facebook.com/groups/uwclassified,
,"9,299",Toronto,groupsatutoronto,https://www.facebook.com/groups/utorontoclassifieds/?ref=br_rs,
,"9,640",Ohio State,groupsatohiostate,https://www.facebook.com/groups/344403585620607/,
,"9,652",UIUC,groupsatuiuc,https://www.facebook.com/groups/210775752364752/?ref=br_rs,
,"10,874",Michigan State,groupsatmichiganstate,https://www.facebook.com/groups/426124220747362/,
,"11,060",Virginia Tech,groupsatvirginiatech,https://www.facebook.com/groups/267614713330708/,
,"11,082",Irvine,groupsatirvine,https://www.facebook.com/groups/ucifreeandforsale/?ref=br_rs,
,"11,608",Florida State,groupsatfloridastate,https://www.facebook.com/groups/FSUFreeAndForSale/,
,"12,620",UCLA,groupsatucla,https://www.facebook.com/groups/UCLAfreeandforsale/,
,"13,132",USC,groupsatusc,https://www.facebook.com/groups/333039026750643/?ref=br_rs,
,"13,892",Queen's University,groupsatqueensuniversity,https://www.facebook.com/groups/QueensFreeAndForSale/?ref=br_rs,
,"17,938",Arizona,groupsatuarizona,https://www.facebook.com/groups/210190815758633/?ref=br_rs,
,"18,273",UC Davis,groupsatdavis,https://www.facebook.com/groups/418689691489871/?ref=br_rs,
,"21,445",Berkeley,groupsatberkeley,https://www.facebook.com/groups/266259930135554/?ref=br_rs,
,,Arizona State,groupsatasu,https://www.facebook.com/groups/356127937772443/?ref=br_rs,
,,Baylor,groupsatbaylor,https://www.facebook.com/groups/347969278595389/,
,,BU,groupsatbostonuniversity,https://www.facebook.com/groups/223862187720494,
,,Colorado,groupsatcoloradoboulder,https://www.facebook.com/groups/322769774455968/?ref=br_rs,
,,Columbia,groupsatcolumbia,https://www.facebook.com/groups/201945526573205/?ref=br_rs,
,,Drake,groupsatdrake,https://www.facebook.com/groups/109901102478479,
,,Drexel,groupsatdrexel,https://www.facebook.com/groups/free4sale/,
,,Florida,groupsatflorida,https://www.facebook.com/groups/386949108003579/,
,,GaTech,groupsatgatech,,
,,George Washington,groupsatgeorgewashington,https://www.facebook.com/groups/273894062694927/?ref=br_rs,
,,University of Glasgow,groupsatglasgow,https://www.facebook.com/groups/111562765653267/?ref=br_rs,
,,GVSU,groupsatgvsu,https://www.facebook.com/groups/184821328304549/?ref=br_rs,
,,Harvard,groupsatharvard,https://www.facebook.com/groups/206872702758922,
,,Illinois State,groupsatillinoisstate,https://www.facebook.com/groups/428851107141019/,
,,Iowa,groupsatiowa,https://www.facebook.com/groups/335095433216455/,
,,Iowa State,groupsatiowastate,https://www.facebook.com/groups/400669909956929/?ref=br_rs,
,,Johns Hopkins,groupsatjohnshopkins,https://www.facebook.com/groups/206743736105967/?ref=br_rs,
,,Lehigh,groupsatlehigh,https://www.facebook.com/groups/331821736873161/,
,,Loyola,groupsatloyola,https://www.facebook.com/groups/296535113754843/?ref=br_rs,
